# file...... gen/Gen_3_Speed.csv
# date...... Sun Jun  8 01:45:34 2025
# user...... root
# host...... (null)
# target.... diesel_dg 4
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,rotor_speed,rotor_angle,flux1d,flux2q,EpRotated,VintRotated,Eint_A,Eint_B,Eint_C,Irotated,pwr_electric.real,pwr_electric.imag,pwr_mech,torque_mech,torque_elec
2001-08-01 13:00:00 PDT,+376.991118431,+0.278565368967,+0.99689537669,-0.295427102955,+1.04881941628+77.1945489233d,+1.05006882221+75.0886741033d,+0+0d,+0+0d,+0+0d,+0.339293069466+54.7661833391d,+149999.137123,+50004.4838023,+150346.781519,+398.807224278,+398.807224278
2001-08-01 13:00:01.000000 PDT,+376.991118431,+0.278564544684,+0.996895519247,-0.295426188484,+1.04881950921+77.1945903888d,+1.05006882221+75.0887213311d,+2519.60624136+1.04929406353d,+2519.60624136-118.950705936d,+2519.60624136+121.049294064d,+0.339292877067+54.7659782425d,+149999.129806,+50004.4767691,+150346.451033,+398.806347636,+398.806347667
2001-08-01 13:00:01.001000 PDT,+376.991268446,+0.278564544684,+0.996893542297,-0.295425133362,+1.04860982293+77.1919924569d,+1.0499216114+75.0873243948d,+2519.25301376+1.04789712721d,+2519.25301376-118.952102873d,+2519.25301376+121.047897127d,+0.338517877642+54.9061108086d,+149999.129814,+50004.4767854,+150673.881653,+399.674725289,+398.202519743
2001-08-01 13:00:01.002000 PDT,+376.992006124,+0.278564887272,+0.99688704231,-0.295422168227,+1.04822781651+77.1872634567d,+1.04965294759+75.0846883498d,+2518.60836364+1.04528071105d,+2518.60836364-118.954719289d,+2518.60836364+121.045280711d,+0.337066993675+55.180436656d,+149818.383322,+49461.4489924,+151282.108994,+401.28731256,+397.094173875
2001-08-01 13:00:01.003000 PDT,+376.993656518,+0.278566327232,+0.996874083111,-0.295416410091,+1.04769472177+77.1806689047d,+1.04927683313+75.0810006816d,+2517.70588914+1.04167554644d,+2517.70588914-118.958324454d,+2517.70588914+121.041675546d,+0.335024640269+55.5761445632d,+149477.76542,+48472.475221,+152139.00561,+403.558529378,+395.533063958
2001-08-01 13:00:01.004000 PDT,+376.996508115,+0.278569924748,+0.996853155228,-0.295407067718,+1.04703017469+77.1724534857d,+1.04880618785+75.0764589924d,+2516.57659097+1.03733997969d,+2516.57659097-118.96266002d,+2516.57659097+121.03733998d,+0.332468696093+56.0816091756d,+148996.905311,+47091.118856,+153215.629682,+406.411270088,+393.561065519
2001-08-01 13:00:01.005000 PDT,+377.000814837,+0.278577009958,+0.996823116821,-0.295393479436,+1.046252085+77.1628397254d,+1.04825293955+75.0712291763d,+2515.24908954+1.03251611629d,+2515.24908954-118.967483884d,+2515.24908954+121.032516116d,+0.329476813301+56.6868840963d,+148395.595295,+45366.2717144,+154485.918439,+409.776086308,+391.221465538
2001-08-01 13:00:01.006000 PDT,+377.006798414,+0.27858915018,+0.996783137946,-0.295375128393,+1.04537676751+77.1520298879d,+1.04762812579+75.0654407262d,+2513.74986909+1.02742324965d,+2513.74986909-118.97257675d,+2513.74986909+121.02742325d,+0.326126361068+57.3835815363d,+147691.816467,+43342.96562,+155926.410766,+413.590448296,+388.560383743
2001-08-01 13:00:01.007000 PDT,+377.014650709,+0.278608119405,+0.996732650786,-0.295351649129,+1.0444190533+77.1402075425d,+1.04694193587+75.0591916018d,+2512.10337853+1.02226098181d,+2512.10337853-118.977739018d,+2512.10337853+121.022260982d,+0.322493165086+58.1645161003d,+146901.759609,+41062.8373604,+157515.996234,+417.798077443,+385.625638588
2001-08-01 13:00:01.008000 PDT,+377.024535905,+0.27863586985,+0.996671305575,-0.295322830409,+1.04339239454+77.1275389703d,+1.04620374395+75.052554301d,+2510.33211085+1.01721366433d,+2510.33211085-118.982786336d,+2510.33211085+121.017213664d,+0.318650298922+59.0233442746d,+146040.230778,+38564.2755062,+159235.688022,+422.348343032,+382.465337586
