# file...... inverter/Inverter_#1_MG1.csv
# date...... Sun Jun  8 03:29:17 2025
# user...... root
# host...... (null)
# target.... inverter_dyn 6
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,VA_Out.real,VA_Out.imag,V_In,VA_Out,Pref,Qref
2001-08-01 13:00:00 PDT,+449999.951912,+0.0275835062348,+0,+449999.951912+3.51204146737e-06d,+450000,+0
2001-08-01 13:00:01.000000 PDT,+450000.000568,+0.000618880110778,+0,+450000.000568+7.87982629499e-08d,+450000,+0
2001-08-01 13:00:01.001000 PDT,+449988.947833,+1.33792085348,+0,+449988.947835+0.000170353557783d,+450000,+0
2001-08-01 13:00:01.002000 PDT,+449977.226031,+4.79921190937,+0,+449977.226057+0.000611085564954d,+450000,+0
2001-08-01 13:00:01.003000 PDT,+449965.678913,+12.0779033022,+0,+449965.679075+0.00153792370585d,+450000,+0
2001-08-01 13:00:01.004000 PDT,+449955.053429,+24.1282626139,+0,+449955.054076+0.00307241268411d,+450000,+0
2001-08-01 13:00:01.005000 PDT,+449945.843283,+41.5455596434,+0,+449945.845201+0.00529038161779d,+450000,+0
2001-08-01 13:00:01.006000 PDT,+449938.362769,+64.7079153706,+0,+449938.367422+0.00823999625959d,+450000,+0
2001-08-01 13:00:01.007000 PDT,+449932.792838,+93.8459078753,+0,+449932.802625+0.0119506167442d,+450000,+0
2001-08-01 13:00:01.008000 PDT,+449929.214076,+129.079670273,+0,+449929.232592+0.016437519266d,+450000,+0
