# file...... load/Load_1001_Voltage.csv
# date...... Sun Jun  8 03:29:17 2025
# user...... root
# host...... (null)
# target.... node 230
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,voltage_A, voltage_B, voltage_C
2001-08-01 13:00:00 PDT,+2478.58671157-1.00602930703d,+2467.75726923-120.556253822d,+2502.7096716+119.242968872d
2001-08-01 13:00:01.000000 PDT,+2478.58671993-1.00602919028d,+2467.75726866-120.556253759d,+2502.70967614+119.242968962d
2001-08-01 13:00:01.001000 PDT,+2478.55215129-1.00588388996d,+2467.72581632-120.556128757d,+2502.67584949+119.243069459d
2001-08-01 13:00:01.002000 PDT,+2478.49207694-1.00553486854d,+2467.67087548-120.555821076d,+2502.6168377+119.243340532d
2001-08-01 13:00:01.003000 PDT,+2478.41109002-1.00491868466d,+2467.59641404-120.55527112d,+2502.53689895+119.243850596d
2001-08-01 13:00:01.004000 PDT,+2478.31361256-1.00395152225d,+2467.50619464-120.554400716d,+2502.44006351+119.244687946d
2001-08-01 13:00:01.005000 PDT,+2478.2037328-1.00254797748d,+2467.40367489-120.553130383d,+2502.33003209+119.24594203d
2001-08-01 13:00:01.006000 PDT,+2478.08518084-1.00062790322d,+2467.29200455-120.55138561d,+2502.21017283+119.24769664d
2001-08-01 13:00:01.007000 PDT,+2477.9613302-0.998118615d,+2467.17403422-120.549098877d,+2502.08352979+119.250027709d
2001-08-01 13:00:01.008000 PDT,+2477.83521236-0.994955282971d,+2467.05233051-120.546210009d,+2501.95283845+119.253002923d
