# file...... load/Load_76_Voltage.csv
# date...... Sun Jun  8 01:45:34 2025
# user...... root
# host...... (null)
# target.... load 312
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,voltage_A, voltage_B, voltage_C
2001-08-01 13:00:00 PDT,+2480.31797637-1.05135110938d,+2456.41521715-120.827025619d,+2515.91422046+118.96849052d
2001-08-01 13:00:01.000000 PDT,+2480.31798643-1.05135098519d,+2456.41521563-120.827025554d,+2515.9142256+118.968490586d
2001-08-01 13:00:01.001000 PDT,+2480.28453932-1.05121139982d,+2456.38523169-120.826914697d,+2515.88139713+118.968583332d
2001-08-01 13:00:01.002000 PDT,+2480.22633825-1.05087996417d,+2456.33272641-120.826640002d,+2515.82402301+118.968833544d
2001-08-01 13:00:01.003000 PDT,+2480.14781978-1.05029867862d,+2456.26142729-120.826146857d,+2515.74620258+118.969304638d
2001-08-01 13:00:01.004000 PDT,+2480.05325995-1.04939057035d,+2456.17486027-120.825363682d,+2515.65181234+118.970078517d
2001-08-01 13:00:01.005000 PDT,+2479.94661463-1.04807715333d,+2456.07626309-120.824217747d,+2515.54441131+118.971238139d
2001-08-01 13:00:01.006000 PDT,+2479.83149475-1.04628477121d,+2455.96858529-120.822640896d,+2515.42723948+118.9728612d
2001-08-01 13:00:01.007000 PDT,+2479.71116751-1.04394662435d,+2455.85449749-120.820571369d,+2515.30322654+118.975018103d
2001-08-01 13:00:01.008000 PDT,+2479.58857025-1.04100311854d,+2455.73640587-120.817954111d,+2515.17500694+118.977771619d
