# file...... oh/OH_line_76-77_Current.csv
# date...... Sun Jun  8 03:29:17 2025
# user...... root
# host...... (null)
# target.... overhead_line 161
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_A, current_out_B, current_out_C
2001-08-01 13:00:00 PDT,+11.2169546424-43.8366536515d,+8.23458137769-149.653529362d,+75.5792412262-155.736968804d
2001-08-01 13:00:01.000000 PDT,+11.2169503194-43.8366607535d,+8.23458155711-149.65352691d,+75.5792408843-155.736969d
2001-08-01 13:00:01.001000 PDT,+11.2144251911-43.8208321543d,+8.23346302703-149.631043712d,+75.5818234383-155.737065503d
2001-08-01 13:00:01.002000 PDT,+11.210323519-43.7915402828d,+8.23183653344-149.590063028d,+75.5864090997-155.737469854d
2001-08-01 13:00:01.003000 PDT,+11.2052289507-43.749399712d,+8.23011831912-149.532046682d,+75.592735224-155.738363897d
2001-08-01 13:00:01.004000 PDT,+11.1997679106-43.6946303976d,+8.22877670411-149.458033089d,+75.6005696523-155.739970305d
2001-08-01 13:00:01.005000 PDT,+11.1945359987-43.6273554675d,+8.2282600479-149.368912793d,+75.6097031518-155.742503158d
2001-08-01 13:00:01.006000 PDT,+11.1900739013-43.5477263571d,+8.22897171985-149.265553804d,+75.6199441302-155.7461498d
2001-08-01 13:00:01.007000 PDT,+11.1868601594-43.4559702187d,+8.23126217257-149.148849935d,+75.6311162392-155.751064917d
2001-08-01 13:00:01.008000 PDT,+11.1853109592-43.352405444d,+8.23542798053-149.019737996d,+75.6430569626-155.757369596d
