# file...... pow/Voltage_151.csv
# date...... Sun Jun  8 03:29:17 2025
# user...... root
# host...... (null)
# target.... node 239
# trigger... (none)
# interval.. 1
# limit..... 10000000
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2001-08-01 13:00:00 PDT,+2461.15787314,-38.9241960131,-1247.99060148,-2131.21091063,-1224.14418751,+2165.35180014
2001-08-01 13:00:01.000000 PDT,+2461.15788061,-38.9241916166,-1247.990599,-2131.21091251,-1224.14419297,+2165.35180105
2001-08-01 13:00:01.001000 PDT,+2461.12508175,-38.9155403911,-1247.96924984,-2131.1883506,-1224.13337549,+2165.32032139
2001-08-01 13:00:01.002000 PDT,+2461.06934813,-38.8947738032,-1247.92803686,-2131.15280413,-1224.11993933,+2165.2636044
2001-08-01 13:00:01.003000 PDT,+2460.99554298,-38.8583140293,-1247.86614343,-2131.10982974,-1224.10946271,+2165.18370845
2001-08-01 13:00:01.004000 PDT,+2460.90841562,-38.8014528761,-1247.78176999,-2131.06539739,-1224.1083931,+2165.08198837
2001-08-01 13:00:01.005000 PDT,+2460.81236665,-38.7193909751,-1247.67288714,-2131.02523359,-1224.12306577,+2164.95946351
2001-08-01 13:00:01.006000 PDT,+2460.71139814,-38.6076304344,-1247.53753825,-2130.99460481,-1224.15935284,+2164.81698801
2001-08-01 13:00:01.007000 PDT,+2460.60910616,-38.4621098963,-1247.37394823,-2130.97825041,-1224.22254732,+2164.6553169
2001-08-01 13:00:01.008000 PDT,+2460.5086936,-38.2792344163,-1247.18055426,-2130.98037944,-1224.31734508,+2164.47513244
