# file...... switch/microgrid_switch1.csv
# date...... Sun Jun  8 03:29:17 2025
# user...... root
# host...... (null)
# target.... switch 345
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,phase_A_state,phase_B_state,phase_C_state,current_in_A, current_in_B, current_in_C
2001-08-01 13:00:00 PDT,CLOSED,CLOSED,CLOSED,+25.3095555263+78.6091701513d,+51.6700093682+173.026574681d,+35.3716151679-84.8287254494d
2001-08-01 13:00:01.000000 PDT,CLOSED,CLOSED,CLOSED,+25.309555423+78.6091946811d,+51.6700059815+173.026566747d,+35.3716240485-84.8287172842d
2001-08-01 13:00:01.001000 PDT,CLOSED,CLOSED,CLOSED,+25.2612671457+78.5691892234d,+51.7193891487+173.009283301d,+35.3455043585-84.7600902978d
2001-08-01 13:00:01.002000 PDT,CLOSED,CLOSED,CLOSED,+25.1732561507+78.5278674518d,+51.8006359786+172.965612472d,+35.3111770661-84.6304195595d
2001-08-01 13:00:01.003000 PDT,CLOSED,CLOSED,CLOSED,+25.0472465371+78.5100123488d,+51.9056002685+172.887363404d,+35.2795187033-84.4388658028d
2001-08-01 13:00:01.004000 PDT,CLOSED,CLOSED,CLOSED,+24.8833829802+78.5452071467d,+52.0263559461+172.763820186d,+35.2629425261-84.1818648239d
2001-08-01 13:00:01.005000 PDT,CLOSED,CLOSED,CLOSED,+24.6812756544+78.6637857823d,+52.1557510849+172.584130847d,+35.2737448919-83.8554351091d
2001-08-01 13:00:01.006000 PDT,CLOSED,CLOSED,CLOSED,+24.4405929965+78.8955661519d,+52.2876113397+172.338229548d,+35.3235063717-83.456314877d
2001-08-01 13:00:01.007000 PDT,CLOSED,CLOSED,CLOSED,+24.161436109+79.2696769258d,+52.4168523867+172.017130741d,+35.4228896607-82.9825212157d
2001-08-01 13:00:01.008000 PDT,CLOSED,CLOSED,CLOSED,+23.8446378327+79.814846032d,+52.5395433334+171.612958119d,+35.581603674-82.4336357464d
