# file...... switch/microgrid_switch2.csv
# date...... Sun Jun  8 01:45:34 2025
# user...... root
# host...... (null)
# target.... switch 346
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,status,phase_A_state,phase_B_state,phase_C_state,current_out_A
2001-08-01 13:00:00 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+95.1252279961-109.126785153d
2001-08-01 13:00:01.000000 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+95.1252342685-109.126784722d
2001-08-01 13:00:01.001000 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+95.10578907-109.135191119d
2001-08-01 13:00:01.002000 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+95.0717768129-109.153781999d
2001-08-01 13:00:01.003000 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+95.0270024943-109.183483311d
2001-08-01 13:00:01.004000 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+94.975621117-109.225569685d
2001-08-01 13:00:01.005000 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+94.9217509354-109.281377739d
2001-08-01 13:00:01.006000 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+94.8693116911-109.352171208d
2001-08-01 13:00:01.007000 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+94.8219579487-109.439075378d
2001-08-01 13:00:01.008000 PDT,CLOSED,CLOSED,CLOSED,CLOSED,+94.7830595748-109.543048283d
