# file...... switch/node150_switch_Current.csv
# date...... Sun Jun  8 03:29:17 2025
# user...... root
# host...... (null)
# target.... switch 351
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_A.real, current_out_B.real, current_out_C.real
2001-08-01 13:00:00 PDT,+330.123660138,-241.402522926,+7.85476581086
2001-08-01 13:00:01.000000 PDT,+330.123636594,-241.402514627,+7.85477248542
2001-08-01 13:00:01.001000 PDT,+330.150769164,-241.503647075,+7.93119082459
2001-08-01 13:00:01.002000 PDT,+330.182686573,-241.675516311,+8.07561757028
2001-08-01 13:00:01.003000 PDT,+330.203893328,-241.902759951,+8.2880777552
2001-08-01 13:00:01.004000 PDT,+330.1962579,-242.170215898,+8.57149557305
2001-08-01 13:00:01.005000 PDT,+330.141893029,-242.463771796,+8.92962490866
2001-08-01 13:00:01.006000 PDT,+330.024201388,-242.770572574,+9.36619430149
2001-08-01 13:00:01.007000 PDT,+329.8282207,-243.079062146,+9.88459689552
2001-08-01 13:00:01.008000 PDT,+329.540678557,-243.378948028,+10.4877978572
