# file...... switch/switch_100-101.csv
# date...... Sun Jun  8 01:45:34 2025
# user...... root
# host...... (null)
# target.... switch 357
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_A,current_out_B,current_out_C, phase_A_state,phase_B_state,phase_C_state
2001-08-01 13:00:00 PDT,+5.02429586779e-11-45d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.000000 PDT,+5.02429586779e-11-45d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.001000 PDT,+5.02429586779e-11-45d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.002000 PDT,+5.02429586779e-11-45d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.003000 PDT,+5.02429586779e-11-45d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.004000 PDT,+5.02429586779e-11-45d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.005000 PDT,+5.02429586779e-11-45d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.006000 PDT,+0+0d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.007000 PDT,+0+0d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.008000 PDT,+0+0d,+0+0d,+0+0d,CLOSED,CLOSED,CLOSED
