# file...... switch/switch_450-451.csv
# date...... Sun Jun  8 01:45:34 2025
# user...... root
# host...... (null)
# target.... switch 353
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,status,phase_A_state,phase_B_state,phase_C_state
2001-08-01 13:00:00 PDT,CLOSED,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.000000 PDT,CLOSED,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.001000 PDT,CLOSED,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.002000 PDT,CLOSED,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.003000 PDT,CLOSED,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.004000 PDT,CLOSED,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.005000 PDT,CLOSED,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.006000 PDT,CLOSED,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.007000 PDT,CLOSED,CLOSED,CLOSED,CLOSED
2001-08-01 13:00:01.008000 PDT,CLOSED,CLOSED,CLOSED,CLOSED
